Date,Price,Open,High,Low,Vol.,Change %,anomaly_score,is_anomaly,top_contributing_features
06/16/2025,70.09,72.74,72.74,67.9,366.33K,-3.62%,26.19,1,"Low(0.16), Price(0.11), High(0.03)"
06/15/2025,72.72,74.77,74.86,72.65,44.79K,2.01%,31.59,1,"Open(0.11), Low(0.07), High(0.07)"
06/13/2025,71.29,67.5,74.63,67.11,681.43K,6.98%,30.96,1,"Open(0.23), Low(0.19), High(0.06)"
06/12/2025,66.64,67.68,67.93,65.51,297.70K,-0.39%,30.96,1,"Low(0.27), Price(0.27), High(0.26)"
06/11/2025,66.9,63.67,67.11,63.54,260.69K,4.68%,24.97,1,"Open(0.41), Low(0.36), High(0.29)"
06/10/2025,63.91,64.1,65.1,63.51,207.74K,-0.48%,25.13,1,"Price(0.40), High(0.39), Open(0.39)"
06/09/2025,64.22,63.81,64.34,63.27,137.42K,-0.63%,14.75,0,"High(0.42), Open(0.40), Price(0.38)"
06/08/2025,64.63,64.82,64.83,64.55,4.01K,0.08%,24.77,1,"High(0.40), Price(0.36), Open(0.35)"
06/06/2025,64.58,63.33,64.8,62.82,310.13K,1.91%,23.59,1,"Open(0.42), High(0.40), Low(0.40)"
06/05/2025,63.37,62.76,63.98,62.5,232.42K,0.83%,22.37,0,"Open(0.45), High(0.44), Price(0.42)"
06/04/2025,62.85,63.36,63.96,62.17,321.13K,-0.88%,18.33,0,"Price(0.45), High(0.44), Low(0.43)"
06/03/2025,63.41,63.02,63.89,62.4,291.26K,1.42%,14.25,0,"High(0.45), Open(0.44), Price(0.42)"
06/02/2025,62.52,61.11,63.88,61.06,403.58K,2.85%,8.4,0,"Open(0.53), Low(0.48), Price(0.46)"
05/30/2025,60.79,60.94,61.72,59.74,384.93K,-0.25%,16.4,0,"High(0.55), Low(0.54), Price(0.54)"
05/29/2025,60.94,61.83,63.07,60.55,299.86K,-1.46%,11.89,0,"Price(0.54), Low(0.51), Open(0.50)"
05/28/2025,61.84,61.04,62.54,60.85,260.37K,1.56%,9.55,0,"Open(0.53), High(0.51), Price(0.49)"
05/27/2025,60.89,61.7,62.14,60.26,291.32K,-0.98%,8.96,0,"Price(0.54), High(0.53), Low(0.52)"
05/26/2025,61.49,61.53,62.03,61.26,49.02K,-0.71%,4.46,0,"High(0.53), Price(0.51), Open(0.51)"
05/25/2025,61.93,61.73,62.15,61.58,,0.65%,22.18,0,"High(0.53), Open(0.50), Price(0.49)"
05/23/2025,61.53,60.81,61.88,60.02,273.39K,0.54%,21.55,0,"Open(0.54), High(0.54), Low(0.53)"
05/22/2025,61.2,61.33,61.75,60.25,258.55K,-0.60%,19.45,0,"High(0.55), Price(0.52), Low(0.52)"
05/21/2025,61.57,62.27,64.19,61.28,302.70K,-1.58%,15.99,0,"Price(0.51), Open(0.47), Low(0.47)"
05/20/2025,62.56,62.68,63.17,62.19,25.62K,-0.21%,14.1,0,"High(0.48), Price(0.46), Open(0.46)"
05/19/2025,62.69,62.75,63.4,61.57,95.57K,1.16%,8.97,0,"High(0.47), Low(0.46), Price(0.45)"
05/16/2025,61.97,61.22,62.18,60.78,250.32K,1.34%,10.71,0,"High(0.53), Open(0.52), Low(0.50)"
05/15/2025,61.15,62.4,62.46,60.08,264.08K,-2.44%,9.58,0,"Low(0.53), Price(0.53), High(0.51)"
05/14/2025,62.68,63.2,63.23,62.31,203.84K,-0.90%,8.25,0,"High(0.48), Price(0.45), Open(0.43)"
05/13/2025,63.25,61.55,63.44,61.23,203.23K,2.75%,9.02,0,"Open(0.51), Low(0.47), High(0.47)"
05/12/2025,61.56,60.97,63.13,60.56,243.29K,0.88%,4.33,0,"Open(0.54), Price(0.51), Low(0.51)"
05/09/2025,61.02,60.25,61.45,59.89,239.64K,1.85%,5.47,0,"Open(0.57), High(0.56), Low(0.54)"
05/08/2025,59.91,57.93,60.29,57.74,281.00K,3.17%,7.45,0,"Open(0.68), Low(0.64), High(0.61)"
05/07/2025,58.07,58.98,60.26,57.81,295.24K,-1.73%,4.85,0,"Price(0.67), Low(0.64), Open(0.63)"
05/06/2025,59.09,57.25,59.84,57.03,343.89K,3.43%,6.22,0,"Open(0.71), Low(0.67), High(0.63)"
05/05/2025,57.13,56.76,57.7,55.3,308.39K,-1.99%,9.38,0,"Low(0.76), Open(0.73), High(0.73)"
05/02/2025,58.29,58.99,59.87,57.74,322.10K,-1.60%,7.27,0,"Price(0.66), Low(0.64), High(0.63)"
05/01/2025,59.24,58.16,59.5,56.39,364.22K,1.77%,6.09,0,"Low(0.70), Open(0.67), High(0.65)"
04/30/2025,58.21,60.16,60.43,57.91,419.55K,-3.66%,11.81,0,"Price(0.66), Low(0.63), High(0.61)"
04/29/2025,60.42,61.87,62.07,60.12,312.37K,-2.63%,10.36,0,"Price(0.56), High(0.53), Low(0.53)"
04/28/2025,62.05,63.49,63.92,61.48,276.12K,-1.54%,10.33,0,"Price(0.48), Low(0.46), High(0.44)"
04/25/2025,63.02,62.86,63.41,61.8,283.76K,0.37%,7.9,0,"High(0.47), Open(0.45), Low(0.45)"
04/24/2025,62.79,62.34,63.31,61.99,264.91K,0.84%,4.87,0,"High(0.47), Open(0.47), Price(0.45)"
04/23/2025,62.27,64.0,64.87,61.53,397.84K,-3.17%,5.91,0,"Price(0.47), Low(0.46), High(0.40)"
04/22/2025,64.31,63.43,65.09,63.43,34.95K,1.95%,4.4,0,"Open(0.42), High(0.39), Price(0.38)"
04/21/2025,63.08,64.3,64.42,62.45,82.67K,-2.47%,3.86,0,"Price(0.44), High(0.42), Low(0.42)"
04/17/2025,64.68,62.63,64.86,62.61,111.48K,3.54%,5.58,0,"Open(0.46), Low(0.41), High(0.40)"
04/16/2025,62.47,61.54,62.98,60.44,213.19K,2.83%,7.1,0,"Low(0.51), Open(0.51), High(0.49)"
04/15/2025,60.75,61.09,61.57,60.38,206.48K,-0.49%,6.64,0,"High(0.55), Price(0.55), Open(0.53)"
04/14/2025,61.05,61.15,62.07,60.12,224.09K,-0.73%,6.46,0,"Price(0.53), High(0.53), Open(0.53)"
04/11/2025,61.5,60.2,61.87,59.43,306.23K,2.38%,5.41,0,"Open(0.57), Low(0.56), High(0.54)"
04/10/2025,60.07,62.71,63.34,58.76,391.83K,-3.66%,6.29,0,"Low(0.59), Price(0.58), High(0.47)"
04/09/2025,62.35,58.32,62.93,55.12,592.25K,4.65%,10.36,0,"Low(0.76), Open(0.66), High(0.49)"
04/08/2025,59.58,61.03,61.75,57.88,557.66K,-1.85%,6.7,0,"Low(0.63), Price(0.60), High(0.55)"
04/07/2025,60.7,61.12,63.9,58.95,597.62K,-2.08%,6.63,0,"Low(0.58), Price(0.55), Open(0.53)"
04/04/2025,61.99,66.64,66.9,60.45,559.64K,-7.41%,10.02,0,"Low(0.51), Price(0.49), High(0.30)"
04/03/2025,66.95,70.38,70.41,65.98,459.24K,-6.64%,16.41,0,"Price(0.25), Low(0.25), High(0.14)"
04/02/2025,71.71,71.2,72.28,70.59,286.50K,0.72%,16.11,0,"Open(0.05), High(0.05), Price(0.03)"
04/01/2025,71.2,71.39,72.1,71.03,272.83K,-0.39%,18.52,0,"High(0.06), Price(0.05), Open(0.05)"
03/31/2025,71.48,69.43,71.83,68.81,313.09K,3.06%,19.74,0,"Open(0.14), Low(0.11), High(0.07)"
03/28/2025,69.36,69.91,70.09,68.87,246.65K,-0.80%,14.33,0,"High(0.16), Price(0.14), Open(0.11)"
03/27/2025,69.92,69.96,69.97,69.12,211.83K,0.39%,11.1,0,"High(0.16), Price(0.11), Open(0.11)"
03/26/2025,69.65,69.16,70.22,69.06,262.41K,0.94%,9.69,0,"Open(0.15), High(0.15), Price(0.13)"
03/25/2025,69.0,69.16,69.68,68.52,258.41K,-0.16%,8.35,0,"High(0.17), Price(0.16), Open(0.15)"
03/24/2025,69.11,68.35,69.33,67.95,247.02K,1.22%,7.83,0,"High(0.19), Open(0.19), Low(0.15)"
03/21/2025,68.28,68.35,68.65,67.65,198.96K,0.03%,6.33,0,"High(0.22), Price(0.19), Open(0.19)"
03/20/2025,68.26,67.29,68.47,66.88,25.12K,1.64%,5.09,0,"Open(0.24), High(0.23), Low(0.20)"
03/19/2025,67.16,66.72,67.63,66.21,73.08K,0.39%,5.45,0,"High(0.27), Open(0.27), Price(0.24)"
03/18/2025,66.9,67.4,68.72,66.56,110.34K,-0.70%,3.99,0,"Price(0.26), Open(0.23), Low(0.22)"
03/17/2025,67.37,67.1,68.1,67.01,210.19K,0.69%,5.85,0,"High(0.25), Open(0.25), Price(0.23)"
03/14/2025,66.91,66.48,67.19,66.33,161.84K,0.97%,5.83,0,"High(0.29), Open(0.28), Price(0.26)"
03/13/2025,66.27,67.38,67.65,66.08,212.01K,-1.65%,5.87,0,"Price(0.29), High(0.27), Low(0.24)"
03/12/2025,67.38,66.31,67.53,65.83,175.05K,2.20%,5.8,0,"Open(0.28), High(0.28), Low(0.25)"
03/11/2025,65.93,65.6,66.79,65.0,134.71K,0.38%,4.76,0,"Open(0.32), High(0.31), Price(0.30)"
03/10/2025,65.68,66.78,67.24,65.45,173.46K,-2.03%,4.54,0,"Price(0.31), High(0.29), Low(0.27)"
03/07/2025,67.04,66.34,68.22,66.12,329.71K,1.02%,5.67,0,"Open(0.28), Price(0.25), High(0.24)"
03/06/2025,66.36,66.39,67.09,65.59,341.63K,0.08%,3.89,0,"High(0.30), Price(0.28), Open(0.28)"
03/05/2025,66.31,68.08,68.1,65.22,382.49K,-2.86%,5.57,0,"Low(0.28), Price(0.28), High(0.25)"
03/04/2025,68.26,68.46,68.56,66.77,386.75K,-0.16%,6.12,0,"High(0.23), Low(0.21), Price(0.19)"
03/03/2025,68.37,69.95,70.6,67.89,332.75K,-1.99%,8.65,0,"Price(0.19), Low(0.16), High(0.13)"
02/28/2025,69.76,70.17,70.29,69.14,250.07K,-0.84%,12.41,0,"High(0.15), Price(0.12), Open(0.10)"
02/27/2025,70.35,68.82,70.54,68.61,265.93K,2.52%,9.09,0,"Open(0.17), High(0.13), Low(0.12)"
02/26/2025,68.62,69.11,69.28,68.36,255.60K,-0.45%,6.72,0,"High(0.19), Price(0.17), Open(0.15)"
02/25/2025,68.93,70.92,71.26,68.68,267.31K,-2.50%,7.16,0,"Price(0.16), Low(0.12), High(0.10)"
02/24/2025,70.7,69.8,70.94,69.8,205.47K,0.43%,7.64,0,"Open(0.12), High(0.12), Price(0.08)"
02/21/2025,70.4,72.58,72.77,70.17,268.47K,-2.99%,9.07,0,"Price(0.09), Low(0.05), High(0.03)"
02/20/2025,72.57,72.18,73.25,71.85,26.71K,0.44%,8.84,0,"Low(0.03), Price(0.01), High(0.01)"
02/19/2025,72.25,71.78,73.04,71.71,69.01K,0.56%,8.7,0,"Open(0.03), Low(0.03), High(0.02)"
02/18/2025,71.85,70.7,72.07,70.12,130.94K,1.61%,7.38,0,"Open(0.08), High(0.06), Low(0.05)"
02/14/2025,70.71,71.38,71.88,70.5,213.47K,-0.60%,10.87,0,"Price(0.08), High(0.07), Open(0.05)"
02/13/2025,71.14,71.08,71.46,70.16,220.02K,-0.14%,10.74,0,"High(0.09), Open(0.06), Price(0.06)"
02/12/2025,71.24,72.98,73.0,71.03,221.77K,-2.52%,10.44,0,"Price(0.05), Open(0.03), High(0.02)"
02/11/2025,73.08,72.11,73.33,72.0,195.49K,1.49%,10.14,0,"Low(0.04), Price(0.04), Open(0.01)"
02/10/2025,72.01,70.77,72.2,70.61,160.44K,1.42%,8.55,0,"Open(0.07), High(0.06), Low(0.03)"
02/07/2025,71.0,70.56,71.41,70.47,273.77K,0.55%,9.74,0,"High(0.09), Open(0.08), Price(0.06)"
02/06/2025,70.61,71.18,71.85,70.43,299.04K,-0.59%,9.77,0,"Price(0.08), High(0.07), Open(0.05)"
02/05/2025,71.03,72.76,72.97,70.96,289.90K,-2.30%,9.56,0,"Price(0.06), High(0.02), Open(0.02)"
02/04/2025,72.7,72.35,73.35,70.67,452.96K,-0.63%,9.03,0,"Low(0.02), Price(0.02), High(0.00)"
02/03/2025,73.16,74.14,75.18,72.05,517.85K,0.87%,11.07,0,"Open(0.08), High(0.08), Low(0.04)"
01/31/2025,72.53,73.2,73.84,71.94,376.34K,-0.27%,13.98,0,"Open(0.04), Low(0.04), High(0.02)"
01/30/2025,72.73,73.0,73.84,72.02,336.48K,0.15%,11.74,0,"Low(0.04), Open(0.03), High(0.02)"
01/29/2025,72.62,73.95,74.08,72.33,312.73K,-1.56%,12.65,0,"Open(0.08), Low(0.05), High(0.03)"
01/28/2025,73.77,73.15,74.31,72.93,326.08K,0.82%,12.47,0,"Low(0.08), Price(0.07), High(0.04)"
01/27/2025,73.17,74.54,75.15,72.38,334.42K,-2.00%,11.41,0,"Open(0.10), High(0.08), Low(0.06)"
01/24/2025,74.66,74.3,75.21,74.01,319.68K,0.05%,13.82,0,"Low(0.13), Price(0.11), Open(0.09)"
01/23/2025,74.62,75.39,76.0,74.14,350.69K,-1.09%,12.81,0,"Open(0.14), Low(0.14), High(0.12)"
01/22/2025,75.44,75.88,76.45,75.28,315.33K,-0.59%,13.14,0,"Low(0.20), Open(0.17), Price(0.15)"
01/21/2025,75.89,78.19,78.47,75.49,28.41K,-2.56%,14.58,0,"Open(0.28), High(0.24), Low(0.21)"
01/17/2025,77.88,78.75,79.44,77.76,112.41K,-1.02%,18.51,0,"Low(0.31), Open(0.30), High(0.28)"
01/16/2025,78.68,80.4,80.59,77.87,159.95K,-0.04%,17.72,0,"Open(0.38), High(0.33), Low(0.32)"
01/15/2025,78.71,76.84,79.39,76.16,355.67K,3.06%,15.63,0,"Price(0.30), High(0.28), Low(0.24)"
01/14/2025,76.37,77.24,77.51,76.2,338.20K,-1.20%,15.42,0,"Low(0.24), Open(0.23), High(0.19)"
01/13/2025,77.3,75.68,77.64,75.67,493.44K,2.05%,13.9,0,"Price(0.23), Low(0.21), High(0.20)"
01/10/2025,75.75,73.57,76.89,73.33,448.29K,3.43%,15.81,0,"High(0.16), Price(0.16), Low(0.10)"
01/09/2025,73.24,72.66,73.61,72.2,162.00K,0.78%,15.34,0,"Low(0.05), Price(0.04), Open(0.01)"
01/08/2025,72.67,73.81,74.44,72.51,261.48K,-1.22%,12.18,0,"Open(0.07), Low(0.06), High(0.05)"
01/07/2025,73.57,72.81,73.82,72.51,188.74K,0.89%,11.37,0,"Low(0.06), Price(0.06), Open(0.02)"
01/06/2025,72.92,73.31,74.18,72.54,221.84K,-0.40%,11.67,0,"Low(0.06), Open(0.05), High(0.04)"
01/03/2025,73.21,72.46,73.5,72.1,220.66K,0.98%,13.03,0,"Low(0.04), Price(0.04), Open(0.01)"
01/02/2025,72.5,71.45,73.12,71.31,182.49K,1.75%,10.3,0,"Open(0.04), High(0.01), Price(0.01)"
